0	28.5	88	128	128	112	104	88	152	104	144	88	96	80	96	208	128	144	136	192	128	208	104	200	120	80	112	144	160	128	136	88	112	96	104	64	104	104	112	208	136	144	160	128	104	128	72	112	96	104	120	144	120	168	136	112	96	160	80	144	120	72	112	144	112	128	120	104	112	112	104	136	104	112	88	152	128	176	128	128	120	160	72	120	96	152	128	168	80	120	120	152	128	144	88	144	72	80
0.022685	28.5	104	152	152	128	112	88	160	120	152	72	136	72	88	216	136	128	144	208	152	208	104	192	128	96	136	112	144	152	112	88	128	112	96	72	120	88	120	224	136	144	136	112	104	120	56	144	96	112	128	160	128	136	144	120	112	168	104	160	88	96	128	120	104	128	104	112	112	120	96	112	112	88	104	184	136	192	152	112	104	128	80	144	104	144	136	160	88	120	96	144	128	160	88	144	112	72
0.045417	28.4	71776	68960	60872	83368	88088	40656	67712	74080	1.4385e+005	52632	45144	80216	74040	56672	65840	52720	56672	55304	38464	58648	56952	55904	58480	1.0923e+005	72864	57016	59088	52792	45712	50304	51352	70600	69672	57056	50584	60608	73520	57776	49536	58976	51232	58264	55344	52608	37352	54840	56576	65312	71320	54792	53392	58288	36368	46608	67568	51120	46096	49816	50728	56680	69336	55464	54168	55168	49096	53584	68936	53520	68304	51752	52024	58616	72048	57584	62888	46344	61848	54128	58352	50912	31848	19280	29416	61384	76152	59648	41424	52624	27752	48312	51536	9040	5464	1576	47480	61792
0.068102	28.4	65240	69320	59032	80680	87256	36176	68712	73864	1.4165e+005	52096	46712	77824	72656	61448	71448	54112	59080	58480	41448	60072	60968	59768	61952	1.0475e+005	73960	61816	63384	56576	47544	53896	54536	72968	74712	60944	54696	60320	73048	63128	52560	64672	54096	61304	57488	55584	41800	59520	59920	65896	68032	56848	56064	60440	37440	48424	71896	54184	50360	52848	51728	55512	67184	57200	55328	56784	51808	56368	72600	56528	60672	52464	54656	57584	69248	58376	63744	48024	61032	53576	57896	47288	31256	19064	30928	59248	68136	55976	37696	50536	25016	44656	49112	8024	4800	1336	43240	56120
0.090775	28.4	57536	62264	51840	71824	78000	30472	65328	67568	1.2354e+005	48752	45640	69576	70568	58776	70640	52768	57768	56584	42320	55624	58840	59936	60632	92472	71984	61744	62568	56080	48352	54440	55096	70328	74120	60304	54672	58168	71696	63000	53336	63280	53776	59720	55832	55016	43640	59120	61072	63624	68456	56760	56448	58616	37432	47448	72328	53544	51560	51608	49240	51744	68184	57352	53176	56376	51712	56088	71360	57096	56720	49424	55832	54304	70432	58184	59928	46216	56104	50312	54320	44008	30208	17088	33200	56456	67584	53496	34064	47648	21968	41064	44568	6872	4112	1192	39000	50408
0.11347	28.4	52920	58496	48560	66232	72992	27136	65104	63960	1.0939e+005	47416	46688	66760	72344	58504	72680	53016	57752	57184	43960	54184	59976	61464	61872	85832	72536	63376	64600	56504	49168	56536	58152	70392	76792	62112	57632	58848	72392	64984	56256	63512	55120	60600	56600	56976	45152	60712	64864	63104	70872	58000	58744	58712	38680	48192	74592	54960	53848	53032	49632	50792	71072	59816	55784	57584	52904	57936	72880	60120	56824	49192	58664	53624	72648	58336	59528	46832	53792	49896	52320	42840	31232	15992	38664	55360	69800	52768	32544	46240	20192	40336	42776	6056	3568	1056	37272	47888
0.13616	28.4	47096	52712	43592	59624	67240	24208	60096	58416	96104	45048	44632	60368	65984	54496	69632	51296	55368	54792	43816	50904	57248	59088	58536	76544	65848	59888	63016	53704	46744	53904	56008	67152	73728	60720	55368	54280	66848	61864	54128	60472	52232	57776	52928	55000	42400	58064	61408	58048	66824	55456	55440	54920	37304	46512	73288	54312	52480	51360	47576	47144	66472	57080	54328	55120	50392	57504	69064	58712	54696	47768	56768	50120	68312	54720	57584	44424	50752	47520	50440	41040	31672	15008	41016	51440	64448	49584	29528	43264	18800	38960	39728	5344	3152	920	35536	44168
0.15892	28.5	41136	45160	38112	53184	59824	21408	52392	50896	83056	40352	41408	51616	57032	47840	62624	46448	49584	50152	40824	46240	51040	52560	52592	66168	57640	52712	56728	47568	41432	47672	50696	60440	65952	54608	49264	47336	58040	54448	48592	53392	46688	51544	46840	49648	38064	51448	54488	50568	57792	49136	48280	48448	34736	41456	66296	49264	47384	46880	42320	41512	58312	49888	49936	49664	44800	52248	61776	52736	49600	42512	50072	43848	60224	48096	53168	39904	46528	43504	45672	37392	29888	13824	39720	45416	56248	43432	26696	39448	17288	36296	35816	4880	2816	840	31672	39688
0.18164	28.5	35000	38344	31840	46832	51456	18752	44768	42680	70088	35520	36304	44656	48832	41112	53080	40784	43480	43488	35992	40024	44088	45440	44952	56432	49304	44688	48864	40736	35000	40392	43176	51976	55856	47216	42240	40888	50392	46456	41872	45584	40112	44496	39672	42400	32584	44992	46480	42616	49416	41640	41376	42032	30888	35592	57512	42192	41184	40976	36408	35816	49384	43000	43272	43960	38528	45328	53400	44984	42416	37600	43320	38136	51648	41848	46472	34776	42032	38560	40208	33376	27432	12384	35552	40016	49144	37152	22944	34176	15408	32688	32184	4408	2648	768	28040	34904
0.20435	28.5	30960	33096	28280	41008	45360	16992	39192	37104	60448	31232	32152	39152	44480	35256	47224	36336	38192	38392	32264	34760	38688	39424	38728	49392	44920	38704	41808	35224	30832	35408	37544	44792	48680	40936	36944	36368	45752	40376	36496	39816	35176	38584	34632	36928	28600	38816	40832	38096	44896	37024	36432	36424	26544	30448	50384	36592	35552	36256	31784	31920	45208	37744	37592	38920	33400	39704	46752	38600	36328	32640	38672	34656	47016	36896	41072	30120	37648	33672	34928	29464	24360	10624	31872	35360	45296	32984	20184	30840	13576	28936	28368	4056	2392	656	24776	30984
0.22706	28.4	29264	30672	25824	37592	41696	14968	36744	33848	54072	28024	30720	37480	44816	32520	45712	34128	35448	35000	29504	31104	35264	36672	35328	45248	44384	35800	38952	32376	28792	32816	34504	40384	44080	37688	34784	34504	45160	37296	34104	36400	32680	35560	31904	34008	26344	35592	38624	35824	43760	34648	33848	33200	24224	27352	44688	32608	31808	32984	29368	29384	44400	36064	34480	36592	30568	36088	43520	34704	33328	29120	36824	33064	46488	34720	37320	27472	33736	29904	30736	26656	22504	9576	29352	32760	44728	30728	18384	28648	12128	26160	24976	3648	2256	616	22864	28472
0.24979	28.4	29784	30504	25208	36144	40816	14872	38144	33312	51328	27560	30440	38544	47680	33112	47680	33896	36232	34752	29024	30928	34968	37152	34928	44648	47408	36200	39880	32416	29496	33248	34672	39368	43608	36792	35304	35544	48160	38224	34360	36608	33312	35248	31984	34608	26784	35064	39560	37304	47008	35104	34200	33584	23376	26896	43352	32072	31128	32448	29680	29728	48072	37016	34512	37128	30392	36528	44000	34584	32472	28232	38000	33688	49024	35368	35816	26944	32848	28936	28728	24784	21840	8992	29384	31824	48288	30880	17808	28080	11408	24864	23624	3424	2056	584	22480	27480
0.27249	28.4	30168	30416	24928	35824	41560	14368	39816	33584	49192	27616	31472	40368	51016	32800	49984	35584	37368	35856	29048	31544	35280	38392	36216	45440	49976	36344	40912	32848	30680	34512	35672	39896	44336	37864	36864	36696	50584	38816	35320	36824	35144	35912	32656	35736	27792	35280	41488	38816	50464	36336	35216	34200	23280	27440	43176	32456	31704	33672	30232	29888	51648	38008	34456	39552	31032	37400	45064	35816	33288	27808	39560	35008	52456	35784	35648	26920	31336	28872	27592	23744	21488	8744	30280	31656	52376	31576	17760	28312	11264	24360	22600	3256	1912	536	22752	27600
0.29519	28.4	31576	31520	26168	37072	43008	14552	43112	35336	49200	29056	32952	43320	54760	34032	54176	37904	39648	38016	30168	33152	36840	40416	38416	47096	53944	38008	44016	34128	32424	36448	37040	41896	46296	40152	38224	38328	54080	39520	37504	38720	37264	37168	33840	37184	29440	36640	43360	41024	54560	37496	36880	36256	24448	28568	44704	34288	32816	35480	32432	31216	56144	39616	36616	42640	31808	40032	46840	37584	34728	28808	41656	36280	56520	37136	36080	27480	31952	29320	28120	23944	21840	8696	31832	31800	56448	33568	18400	29624	11760	24880	22632	3160	1712	512	23976	28344
0.31789	28.4	33792	33512	27872	39520	45952	15464	46240	37936	51992	30512	35160	46384	58992	35880	58776	40824	42712	41512	31608	36296	39400	43416	40448	49328	58304	39592	47736	35664	34672	38904	38904	45344	48240	43560	40080	40088	58256	41224	39776	41136	40384	39712	35328	39336	31760	38552	46080	43384	59376	39952	38640	38480	25768	30688	46576	37128	34720	38672	34336	33008	60168	41464	38464	46808	33600	43384	49056	40296	36272	30016	43768	38136	60320	38976	38632	29104	34144	31504	29168	25144	23136	9120	32984	32800	60424	36040	19728	31488	12200	26536	24040	3016	1616	480	26120	29672
0.34066	28.4	34376	34472	28544	40936	46792	15896	47992	39272	52528	31224	35976	48136	60904	36368	61352	42352	44408	43312	32296	38752	40952	45152	42544	50728	59384	40848	48968	36912	35720	40072	40096	47152	48968	45384	40960	40984	60088	42504	40632	42136	42664	41384	36024	40248	32640	40592	46856	44728	61416	40664	38696	39296	26344	31456	48696	38200	35408	39696	35528	33616	62248	42296	39912	48528	34424	44944	49840	41616	37312	31432	45200	38808	62368	40208	40696	30080	34792	32576	29736	25656	23392	9616	33264	33504	62544	37712	20296	32544	12896	27632	24928	3112	1680	488	27864	30016
0.36341	28.4	36320	35928	30136	42680	49440	16656	50008	40432	54480	31824	35920	49944	63064	38592	64592	44776	46064	45936	33432	41912	42936	46368	43808	52416	61864	42968	51256	37896	37168	41232	41680	49576	50520	47192	42808	42168	62184	44344	42280	43760	45032	43192	37392	41488	34032	41792	47416	45496	63256	42056	39736	40680	26696	32472	50272	39056	36192	40832	36456	34104	64680	44120	41040	51632	35336	46968	51112	43088	39336	31832	46464	40344	64776	41344	42208	31160	36248	34144	31392	26984	24056	10088	33552	34320	63952	38944	21496	33824	13536	29056	26336	3168	1680	496	29896	31048
0.38616	28.4	38048	38304	31640	45328	51960	17520	52152	43000	56440	32768	36728	52800	66136	41328	68848	47384	49032	48576	34816	45352	45576	49088	45408	54376	65560	46352	53496	39744	39840	44320	44368	51944	53120	50392	44648	44160	65176	47544	44688	46752	48000	46672	39304	43888	36496	44216	49864	47984	66384	44832	41744	43488	27616	34560	52560	40792	37736	42656	37760	34888	67648	46712	42768	54192	37376	49464	53448	45984	41112	33640	48728	42256	67976	44744	45384	33320	38352	36096	33024	28232	24592	10904	34624	35704	66984	41368	22552	36072	14376	30776	28104	3224	1760	504	31992	32360
0.40885	28.4	38712	39656	32544	46592	53016	17944	53616	44176	57480	33328	36848	53968	66600	43496	70872	49048	50688	50608	36056	47528	47448	50784	47608	56024	66456	48400	55072	42216	41384	45976	46728	54224	55928	52080	46456	45392	67744	50144	45360	48696	49504	49472	41256	45032	38960	46552	51584	49960	66928	46328	43160	44840	28632	35368	54200	41304	38984	44072	38856	36152	69096	48600	43760	56624	38160	50856	54736	48400	42696	34824	50744	43808	69920	45864	47288	35008	39264	38080	34184	29248	25256	11104	35440	38048	67528	42144	23328	37288	14720	31256	29256	3256	1704	504	33248	33112
0.43156	28.4	40040	42312	34208	48448	55584	18880	55704	45864	60064	34288	37512	55568	68992	46112	72912	51216	52816	52432	37720	49848	50080	52760	48976	57552	68648	51352	56816	44640	44224	49248	49120	56224	58672	55224	49120	47264	69720	53216	47216	51776	51576	52536	43696	47560	41600	49240	54216	52416	69528	47920	45904	47072	29656	37080	57504	42648	40848	45136	40376	37544	71200	51040	45512	58704	40408	52792	56952	50368	44288	36016	52816	46280	72296	49272	50576	37328	40992	39672	35640	30368	26128	11720	36608	40504	69736	43312	24280	38208	15048	32640	30648	3432	1800	584	34688	34000
0.45428	28.4	41920	44808	35480	50424	58264	19232	58272	48664	62160	36552	39280	56928	70464	49376	75856	53136	55632	54592	40152	52768	53304	55960	51400	59800	71656	55280	59040	47112	45768	51536	52272	58680	61568	57912	51728	49480	72880	57256	49224	54760	52520	55752	46824	49888	45160	52272	56808	54856	72088	50592	49032	49824	30952	39344	59824	44328	42216	47720	41632	39176	73520	53952	46912	61824	41968	54856	59456	52960	46472	38088	55448	48920	75328	51192	52992	39416	41656	42472	37400	31112	27072	11920	38704	43448	71576	45304	25288	40320	15320	33904	31656	3408	1856	536	35464	35040
0.47697	28.4	44304	47720	36936	52616	62024	20152	60288	50640	65056	37928	40472	58368	73200	52568	78072	55672	58456	56304	42672	55160	54936	58880	53784	63176	74128	58512	61256	49872	48656	54520	55008	60800	65464	60152	54256	51568	75800	60648	51336	58008	54552	59032	50304	52424	47784	55736	59912	57424	74608	52408	52144	52064	32248	41144	62864	46160	44704	49560	43528	41600	76232	56304	48264	63344	44096	56536	62848	56544	48888	40096	57784	51080	78600	53992	55728	41304	43256	44040	39528	32448	28776	12232	40288	46960	73968	46912	25928	41848	15632	35088	33048	3576	1904	584	36376	36456
